IDvehicle,Vehicle type,Date,Time
346,car,13/1/2022,75639
347,car,13/1/2022,75639
348,car,13/1/2022,75642
349,car,13/1/2022,75642
350,car,13/1/2022,75642
351,car,13/1/2022,75642
352,car,13/1/2022,75657
353,car,13/1/2022,75657
354,car,13/1/2022,75717
355,car,13/1/2022,75717
356,car,13/1/2022,75728
357,car,13/1/2022,75728
358,car,13/1/2022,75728
359,car,13/1/2022,75759
360,car,13/1/2022,75759
361,car,13/1/2022,75800
362,car,13/1/2022,75800
363,car,13/1/2022,75800
364,car,13/1/2022,75802
365,car,13/1/2022,75802
366,car,13/1/2022,75802
367,car,13/1/2022,75813
368,car,13/1/2022,75813
369,car,13/1/2022,75813
370,car,13/1/2022,75825
371,car,13/1/2022,75825
372,car,13/1/2022,75830
373,car,13/1/2022,75830
374,car,13/1/2022,75832
375,car,13/1/2022,75832
376,car,13/1/2022,75832
377,bus,13/1/2022,75857
378,bus,13/1/2022,75857
379,car,13/1/2022,75902
380,car,13/1/2022,75902
381,car,13/1/2022,75926
382,car,13/1/2022,75926
383,car,13/1/2022,75932
384,car,13/1/2022,75932
